customer_id,billing_date,amount
C001,2024-01-01,100
C001,2024-01-02,120
C002,2024-01-01,150
C002,2024-01-02,180
C99999,2024-01-01,201
C99999,2024-01-02,202
C99999,2024-01-03,203
C99999,2024-01-04,204
C99999,2024-01-05,205
C99999,2024-01-06,206
C99999,2024-01-07,207
C99999,2024-01-08,208
C99999,2024-01-09,209
C99999,2024-01-10,210
C99999,2024-01-11,211
C99999,2024-01-12,212
C99999,2024-01-13,213
C99999,2024-01-14,214
C99999,2024-01-15,215
C99999,2024-01-16,216
C99999,2024-01-17,217
C99999,2024-01-18,218
C99999,2024-01-19,219
C99999,2024-01-20,220
C99999,2024-01-21,221
C99999,2024-01-22,222
C99999,2024-01-23,223
C99999,2024-01-24,224
C99999,2024-01-25,225
C99999,2024-01-26,226
C99999,2024-01-27,227
C99999,2024-01-28,228
C99999,2024-01-29,229
C99999,2024-01-30,230
